Category: All categories

Day,covid: (Worldwide),coronavirus: (Worldwide),Hand sanitizer: (Worldwide),hand wash: (Worldwide),clean hands: (Worldwide)
2020-01-01,0,<1,<1,<1,<1
2020-01-02,0,<1,<1,<1,<1
2020-01-03,0,<1,<1,<1,<1
2020-01-04,<1,<1,<1,<1,<1
2020-01-05,0,<1,<1,<1,<1
2020-01-06,<1,<1,<1,<1,<1
2020-01-07,0,<1,<1,<1,<1
2020-01-08,<1,<1,<1,<1,<1
2020-01-09,0,<1,<1,<1,<1
2020-01-10,0,<1,<1,<1,<1
2020-01-11,<1,<1,<1,<1,<1
2020-01-12,0,<1,<1,<1,<1
2020-01-13,<1,<1,<1,<1,<1
2020-01-14,0,<1,<1,<1,<1
2020-01-15,0,<1,<1,<1,<1
2020-01-16,0,<1,<1,<1,<1
2020-01-17,0,<1,<1,<1,<1
2020-01-18,0,<1,<1,<1,<1
2020-01-19,0,<1,<1,<1,<1
2020-01-20,0,<1,<1,<1,<1
2020-01-21,0,2,<1,<1,<1
2020-01-22,0,4,<1,<1,<1
2020-01-23,0,5,<1,<1,<1
2020-01-24,0,8,<1,<1,<1
2020-01-25,0,10,<1,<1,<1
2020-01-26,0,11,<1,<1,<1
2020-01-27,<1,12,<1,<1,<1
2020-01-28,0,14,<1,<1,<1
2020-01-29,0,14,<1,<1,<1
2020-01-30,<1,16,<1,<1,<1
2020-01-31,0,17,<1,<1,<1
2020-02-01,<1,12,<1,<1,<1
2020-02-02,0,10,<1,<1,<1
2020-02-03,0,9,<1,<1,<1
2020-02-04,0,8,<1,<1,<1
2020-02-05,0,7,<1,<1,<1
2020-02-06,<1,7,<1,<1,<1
2020-02-07,0,8,<1,<1,<1
2020-02-08,0,7,<1,<1,<1
2020-02-09,0,7,<1,<1,<1
2020-02-10,0,7,<1,<1,<1
2020-02-11,<1,7,<1,<1,<1
2020-02-12,<1,6,<1,<1,<1
2020-02-13,<1,7,<1,<1,<1
2020-02-14,<1,5,<1,<1,<1
2020-02-15,<1,5,<1,<1,<1
2020-02-16,<1,5,<1,<1,<1
2020-02-17,<1,4,<1,<1,<1
2020-02-18,<1,4,<1,<1,<1
2020-02-19,<1,4,<1,<1,<1
2020-02-20,<1,4,<1,<1,<1
2020-02-21,<1,7,<1,<1,<1
2020-02-22,<1,11,<1,<1,<1
2020-02-23,1,17,<1,<1,<1
2020-02-24,1,20,<1,<1,<1
2020-02-25,1,24,<1,<1,<1
2020-02-26,1,28,<1,<1,<1
2020-02-27,1,27,<1,<1,<1
2020-02-28,1,29,1,<1,<1
2020-02-29,1,27,1,<1,<1
2020-03-01,1,25,1,<1,<1
2020-03-02,2,31,1,<1,<1
2020-03-03,2,30,1,<1,<1
2020-03-04,2,33,2,<1,<1
2020-03-05,2,35,2,<1,<1
2020-03-06,2,36,2,<1,<1
2020-03-07,2,34,2,<1,<1
2020-03-08,3,38,1,<1,<1
2020-03-09,4,48,2,<1,<1
2020-03-10,4,54,2,<1,<1
2020-03-11,6,63,2,<1,<1
2020-03-12,9,94,3,<1,<1
2020-03-13,11,94,4,<1,<1
2020-03-14,11,87,4,<1,<1
2020-03-15,13,100,3,<1,<1
2020-03-16,16,98,4,<1,<1
2020-03-17,16,91,4,<1,<1
2020-03-18,17,89,3,<1,<1
2020-03-19,17,83,3,<1,<1
2020-03-20,19,84,3,<1,<1
2020-03-21,19,86,3,<1,<1
2020-03-22,21,93,2,<1,<1
2020-03-23,22,81,2,<1,<1
2020-03-24,21,75,2,<1,<1
2020-03-25,21,73,2,<1,<1
2020-03-26,21,71,1,<1,<1
2020-03-27,21,72,1,<1,<1
2020-03-28,22,72,1,<1,<1
2020-03-29,21,67,1,<1,<1
2020-03-30,20,58,1,<1,<1
2020-03-31,20,56,1,<1,<1
2020-04-01,21,55,1,<1,<1
2020-04-02,20,54,1,<1,<1
2020-04-03,20,69,1,<1,<1
2020-04-04,20,73,1,<1,<1
2020-04-05,20,75,1,<1,<1
2020-04-06,20,62,1,<1,<1
2020-04-07,19,62,1,<1,<1
2020-04-08,18,61,1,<1,<1
2020-04-09,18,58,1,<1,<1
2020-04-10,18,56,1,<1,<1
2020-04-11,17,46,1,<1,<1
2020-04-12,16,43,1,<1,<1
2020-04-13,17,58,1,<1,<1
2020-04-14,17,53,1,<1,<1
2020-04-15,17,54,1,<1,<1
2020-04-16,18,52,1,<1,<1
2020-04-17,18,51,1,<1,<1
2020-04-18,16,51,1,<1,<1
2020-04-19,16,44,1,<1,<1
2020-04-20,16,38,1,<1,<1
2020-04-21,16,40,1,<1,<1
2020-04-22,16,32,1,<1,<1
2020-04-23,15,40,1,<1,<1
2020-04-24,15,42,1,<1,<1
2020-04-25,14,38,1,<1,<1
2020-04-26,14,36,<1,<1,<1
2020-04-27,15,29,1,<1,<1
2020-04-28,15,28,1,<1,<1
2020-04-29,15,27,1,<1,<1
