Category: All categories

Day,mask: (Worldwide),quarantine: (Worldwide),stay home: (Worldwide),clean hands: (Worldwide)
2020-01-01,8,<1,<1,<1
2020-01-02,8,<1,<1,<1
2020-01-03,8,<1,<1,<1
2020-01-04,10,<1,<1,<1
2020-01-05,10,<1,<1,<1
2020-01-06,9,<1,<1,<1
2020-01-07,8,<1,<1,<1
2020-01-08,8,<1,<1,<1
2020-01-09,8,<1,<1,<1
2020-01-10,8,<1,<1,<1
2020-01-11,9,<1,<1,<1
2020-01-12,12,<1,<1,<1
2020-01-13,12,<1,<1,<1
2020-01-14,9,<1,<1,<1
2020-01-15,9,<1,<1,<1
2020-01-16,9,<1,<1,<1
2020-01-17,8,<1,<1,<1
2020-01-18,9,<1,<1,<1
2020-01-19,9,<1,<1,<1
2020-01-20,8,<1,<1,<1
2020-01-21,10,<1,<1,<1
2020-01-22,10,<1,<1,<1
2020-01-23,12,1,<1,<1
2020-01-24,13,1,<1,<1
2020-01-25,16,1,<1,<1
2020-01-26,19,1,<1,<1
2020-01-27,20,1,<1,<1
2020-01-28,23,1,<1,<1
2020-01-29,23,1,<1,<1
2020-01-30,28,2,<1,<1
2020-01-31,27,2,<1,<1
2020-02-01,22,1,<1,<1
2020-02-02,19,1,<1,<1
2020-02-03,18,1,<1,<1
2020-02-04,16,1,<1,<1
2020-02-05,16,1,<1,<1
2020-02-06,15,2,<1,<1
2020-02-07,16,2,<1,<1
2020-02-08,16,2,<1,<1
2020-02-09,16,1,<1,<1
2020-02-10,14,2,<1,<1
2020-02-11,14,1,<1,<1
2020-02-12,14,1,<1,<1
2020-02-13,14,1,<1,<1
2020-02-14,13,1,<1,<1
2020-02-15,14,1,<1,<1
2020-02-16,13,1,<1,<1
2020-02-17,12,1,<1,<1
2020-02-18,12,1,<1,<1
2020-02-19,12,1,<1,<1
2020-02-20,12,1,<1,<1
2020-02-21,12,1,<1,<1
2020-02-22,13,1,<1,<1
2020-02-23,14,1,<1,<1
2020-02-24,15,1,<1,<1
2020-02-25,20,2,<1,<1
2020-02-26,29,2,1,<1
2020-02-27,29,2,<1,<1
2020-02-28,27,2,<1,<1
2020-02-29,23,2,<1,<1
2020-03-01,21,2,<1,<1
2020-03-02,21,2,<1,<1
2020-03-03,21,3,1,<1
2020-03-04,24,3,1,<1
2020-03-05,25,3,1,<1
2020-03-06,21,3,1,<1
2020-03-07,20,3,1,<1
2020-03-08,18,5,1,<1
2020-03-09,18,6,1,<1
2020-03-10,19,7,1,<1
2020-03-11,22,7,1,<1
2020-03-12,26,14,1,<1
2020-03-13,27,18,1,<1
2020-03-14,28,16,2,<1
2020-03-15,28,20,3,<1
2020-03-16,27,34,4,<1
2020-03-17,28,28,4,<1
2020-03-18,28,26,4,<1
2020-03-19,30,28,4,<1
2020-03-20,34,32,17,<1
2020-03-21,41,32,11,<1
2020-03-22,39,30,19,<1
2020-03-23,37,27,25,<1
2020-03-24,35,25,25,<1
2020-03-25,32,22,21,<1
2020-03-26,32,22,17,<1
2020-03-27,32,20,16,<1
2020-03-28,34,23,14,<1
2020-03-29,35,21,11,<1
2020-03-30,34,20,22,<1
2020-03-31,40,17,16,<1
2020-04-01,43,17,21,<1
2020-04-02,54,16,17,<1
2020-04-03,78,16,17,<1
2020-04-04,100,16,13,<1
2020-04-05,75,16,11,<1
2020-04-06,63,14,10,<1
2020-04-07,56,13,9,<1
2020-04-08,54,13,9,<1
2020-04-09,50,13,9,<1
2020-04-10,49,13,8,<1
2020-04-11,47,14,8,<1
2020-04-12,39,13,7,<1
2020-04-13,38,14,8,<1
2020-04-14,39,13,8,<1
2020-04-15,40,13,8,<1
2020-04-16,46,13,11,<1
2020-04-17,47,13,10,<1
2020-04-18,47,13,8,<1
2020-04-19,42,13,8,<1
2020-04-20,37,12,8,<1
2020-04-21,39,12,9,<1
2020-04-22,38,12,9,<1
2020-04-23,40,12,11,<1
2020-04-24,39,12,11,<1
2020-04-25,39,11,8,<1
2020-04-26,37,12,7,<1
2020-04-27,35,11,10,<1
2020-04-28,36,11,10,<1
2020-04-29,38,10,9,<1
