"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a[1]",-5.06771842332472,0.00667323334594439,0.39653172346308,-5.78203302681282,-5.33735372537092,-5.09140884792982,-4.81451639680292,-4.24112572531962,3530.88239609124,1.00004798225166
"a[2]",-5.03558993498447,0.00956741500766398,0.417555617022272,-6.16738735898528,-5.19811966590204,-4.96820552738438,-4.78300462049941,-4.42433550006246,1904.75637075532,1.00274861661782
"a[3]",-5.17438812425405,0.000650512675469526,0.0461680904265791,-5.26586112260368,-5.20520524364552,-5.17476221355867,-5.14331849593706,-5.08398565864934,5037.00401612177,1.00009535917842
"a[4]",-4.09894994892289,8.76990145894393e-05,0.00885746451923776,-4.11627139644291,-4.10478312260015,-4.09890690946671,-4.09292875155435,-4.08147856262101,10200.6868544409,1.00005815574477
"a[5]",-3.87096079799967,0.0072910570497997,0.474079773413857,-4.84235840597696,-4.15205234224547,-3.86391704012332,-3.59152020363685,-2.93650749157892,4227.87229010927,1.00026165567686
"a[6]",-3.91276810008028,0.0013809047239726,0.0935056716587222,-4.0959279296482,-3.97626713190819,-3.91340609401903,-3.85011148860214,-3.729471315452,4585.09647051896,1.00025915103914
"b[1]",-0.0780429030941601,0.000897796450059854,0.0513918176771696,-0.185271436983571,-0.111131678519371,-0.0736487977365526,-0.0427047230138358,0.0133442494464312,3276.66611014459,1.00032791485604
"b[2]",0.00492799904700303,0.00218714270800097,0.0932356191743009,-0.129929933485235,-0.0491433427806487,-0.0128834086040947,0.0379146236829312,0.258856769145303,1817.22823694342,1.00270998009542
"b[3]",-0.0265901992142632,9.4391015846123e-05,0.00639938938603065,-0.0392524810893919,-0.0309335247963218,-0.0266295764355679,-0.0222437204243836,-0.0141550093612034,4596.37816872217,1.0002837953056
"b[4]",-0.00800311234998502,7.77214146697725e-06,0.000740663413543845,-0.00944286665926607,-0.00850054679112731,-0.00799962292089708,-0.00750527342177546,-0.00656555425652784,9081.5586265311,1.00016695056209
"b[5]",-0.0223172866308669,0.00146348448830231,0.0801262683453881,-0.171816295148849,-0.0645275617305826,-0.0267530120444139,0.0138421871660185,0.162866540453182,2997.59935795977,1.00067587580022
"b[6]",-0.0733698684464031,0.000192770065417513,0.012772001021573,-0.0985638375251119,-0.0819798409833585,-0.0732482991297081,-0.0646529091706086,-0.0486467956012375,4389.73900488058,1.00030783430567
"c[1]",-0.043579447325877,0.000420988479840611,0.0373695074878883,-0.11772369008792,-0.068516580930382,-0.0440642406652359,-0.0188948184338274,0.0303661255715928,7879.42134734884,1.00065071215181
"c[2]",0.0866481819239208,0.000657705348314155,0.0518022320958182,-0.015890614382219,0.0521579551180225,0.0862497488434619,0.120527674482546,0.189114694517774,6203.4630509699,0.999955609158956
"c[3]",0.162002417018345,0.000204061708838421,0.0170847730015137,0.128821695784398,0.150467663910346,0.161953491330581,0.173231952805146,0.195667120061257,7009.63472709194,1.00003794025117
"c[4]",0.0145127916720619,0.00504729941726385,0.334794735609146,-0.68356438319294,-0.114133481196808,0.0301111392027576,0.156525664759686,0.644183257095944,4399.86248598103,1.00077155282772
"c[5]",-0.0912077398379213,0.00191281371094368,0.117386660482992,-0.347280662689204,-0.164966097154055,-0.0851800929629344,-0.00785529459538811,0.115106265802019,3766.10256231235,1.00016092571377
"c[6]",0.0239650134809071,0.00576137936838718,0.35776446866674,-0.688847662691525,-0.109578509640039,0.0331408470220412,0.160299735102698,0.713893153981079,3856.03943589571,1.00018081521052
"a0",-4.51406589222397,0.00569430919430867,0.372192575842263,-5.26879209308392,-4.73965311332962,-4.50757229479074,-4.29357434668501,-3.74997036856439,4272.21717557131,1.00012108910736
"b0",-0.0333390902014145,0.000880521517786427,0.0465647116453589,-0.116592897463066,-0.0556603521123989,-0.0359068546664415,-0.0156991159431762,0.0693401563407309,2796.62276627342,1.00050873992471
"c0",0.0235509422146477,0.0023519025534883,0.148249437045495,-0.296932071659791,-0.0367320407658688,0.0325590654461092,0.0923586100509404,0.304328804297053,3973.26433083811,1.00049543200622
"sigmasq_a",0.798660350829889,0.00470074583877909,0.298313190896267,0.395823755454636,0.585383849830569,0.739101091030314,0.945503817528016,1.54748617111832,4027.27581967958,1.00070850044991
"sigmasq_b",0.0753692631742354,0.0016779944311189,0.0630929329165417,0.0191953390334973,0.0377372492182115,0.0572394053524838,0.0906204490044939,0.239050674398246,1413.77534064474,1.00316498621438
"sigmasq_c",0.235883581013034,0.00542832596941479,0.19404852683296,0.0621422400636462,0.119706815624942,0.179991351739478,0.280950716844014,0.781597674400737,1277.87643651436,1.0035372626065
"sigma_a",0.879658096893003,0.00242755803831927,0.157686687887438,0.62914525782865,0.765103816353953,0.859709887257909,0.972370202659907,1.24397997215281,4219.40116673676,1.00065974792346
"sigma_b",0.258540979755754,0.00246056874900835,0.0923411653734302,0.138547244447783,0.194260776139015,0.239247581202491,0.301032304862864,0.488927956935318,1408.37949895655,1.00236609357375
"sigma_c",0.458031829340398,0.00439012877957512,0.161535401800588,0.249283445565988,0.345986727460279,0.424253876285457,0.53004784391886,0.884080128795927,1353.88230646665,1.00315324459749
"p1_1",0.00354466776714147,5.21796042459567e-06,0.000490266820356552,0.00264951327380989,0.00320319030604962,0.0035206389067031,0.00386683262206765,0.00454877933451753,8828.02274569051,1.00039109546877
"p1_2",0.002920756226585,5.03386161646348e-06,0.000381148971121417,0.00222343213787457,0.00265843028763617,0.0028973030378554,0.00315490287785999,0.00372333254941388,5733.06622813652,1.0001483367194
"p1_3",0.00231819655257637,4.4513419759302e-06,0.000332540120872765,0.00171584473019266,0.00208782167762165,0.00230337305195368,0.00253438135327462,0.00300479903577951,5580.92491775829,0.999917916655943
"p2_1",0.00663045929166329,9.90612739481358e-06,0.000777727668064418,0.00515612681776785,0.00610551149335491,0.00660943755101645,0.00713995131533575,0.00820529607335507,6163.78215797111,1.00064505787612
"p2_2",0.00665617495927902,9.64027451371296e-06,0.000782461996232996,0.00521279829962048,0.00612187193160995,0.00661418991549093,0.0071544378968908,0.00831788374013508,6587.91071645164,1.00007623097961
"p2_3",0.00903569638920815,1.41386300067631e-05,0.00122769024442458,0.00682153815130747,0.00818337654772461,0.00896984440982603,0.00982898471030749,0.0115962499854049,7539.85424477548,0.999894663312888
"p3_1",0.00506437908770488,1.56462522668534e-06,0.00012454629697693,0.0048207095807631,0.00498067031841164,0.00506363241258928,0.00514749556583947,0.00531149983956111,6336.37661992218,0.99992104258526
"p3_2",0.00435201161420484,1.51748152914359e-06,0.000115995255967919,0.00412923729082283,0.00427313496509883,0.00435056956278351,0.00443018693251526,0.00458119307372387,5842.96961865153,1.00032048047435
"p3_3",0.00604438653115993,1.42219856013555e-06,0.000135276836128887,0.005783103716365,0.00595191832511961,0.00604375906544117,0.00613363022796363,0.0063152993342157,9047.45445458109,0.99976586100089
"p4_1",0.01591782563986,1.10181636466113e-06,0.000110895334631783,0.0157025001155917,0.0158443070195098,0.0159174589065771,0.0159929375120481,0.0161362999345816,10129.9689617268,1.00002462275069
"p4_2",0.0142928719478892,1.1463016298332e-06,0.000103601138561671,0.0140911562762796,0.0142214645251147,0.0142929195750445,0.0143625751193675,0.0144940631819675,8168.29166589096,1.00015074522892
"p5_1",0.0189872890623505,6.72229888360664e-05,0.00525500511711202,0.01062098048151,0.0151528274908106,0.0183735195354236,0.0221251384277863,0.030765299778111,6110.97702049849,0.999852363517669
"p5_2",0.0122525323555575,4.09855138548217e-05,0.00355221575971625,0.00630436151138354,0.00969875989855203,0.0119089065539377,0.0144880724894835,0.0200005586111478,7511.69428778491,1.00010303499765
"p5_3",0.0128039951966131,3.68923673771244e-05,0.00325324440733173,0.00723352217215251,0.0104668540323929,0.0125327763152623,0.0148637532524173,0.019845223355633,7776.07309444606,1.00016055181953
"p6_1",0.0136674560946316,6.46389770728175e-06,0.000489836827411613,0.0127353133281996,0.013331938984887,0.0136598449500698,0.0139899795678778,0.0146744551894653,5742.67074975589,1.00003476820976
"p6_2",0.00951372087133711,6.05755982894467e-06,0.000427048919910048,0.00870965583049463,0.00922556831634165,0.00950303750900834,0.00979591515792613,0.0103849560286598,4970.03939394263,1.00016747583002
"p6_3",0.0118202737982396,3.31860603250921e-06,0.000293705586415153,0.0112554575996206,0.0116188200326268,0.0118187740480188,0.0120177086117226,0.0124039697142363,7832.72749668903,0.999770213647743
"pi1_1",0.138372726661325,0.000188897002705999,0.0177583393382538,0.10544352012078,0.126065564801657,0.137679044537045,0.15017240732768,0.174267636833459,8838.01160097952,1.00038352385087
"pi1_2",0.115493735102884,0.000186789392561714,0.0141630463157703,0.0892511634595737,0.105779372973462,0.114730668140651,0.124285700352809,0.145015397529044,5749.22004616756,1.0001503746182
"pi1_3",0.0927903896675394,0.000169881624420244,0.0126781412769711,0.0695876240070766,0.0840377958947421,0.0923108053715427,0.101096084953001,0.118730277830602,5569.52764207291,0.999914197580514
"pi2_1",0.130271951673706,0.000182339484787966,0.0142824447249639,0.102873835960139,0.120682071423211,0.129997252019774,0.139702326584144,0.158880924324476,6135.4109520067,1.0006427872455
"pi2_2",0.130743352075146,0.000176444801699118,0.0143459091179286,0.103946429258184,0.120985983803833,0.130084651500597,0.139965888442041,0.160883794840319,6610.56248231913,1.00007330447865
"pi2_3",0.173281115816525,0.000246341311480049,0.0214325184590914,0.133889807205947,0.158490459262822,0.172392796323887,0.187329685707073,0.217251807417867,7569.58228745601,0.999890431612746
"pi5_1",0.141493872625406,0.000463774378807366,0.0363365130247154,0.0818755079542043,0.11498478078373,0.137875228970989,0.163884539071218,0.221189794785821,6138.65169585358,0.999846187724145
"pi5_2",0.0935913516132365,0.000299225015980415,0.0259063415305248,0.0493359545226259,0.0750067082400839,0.0913934212259864,0.110194514416939,0.14924085693972,7495.77213003176,1.00011099974952
"pi5_3",0.0976838471850528,0.000268599138052109,0.0236592233056825,0.0564241143481159,0.0807306731303382,0.0959727648843355,0.112904473600956,0.148161458562293,7758.74962397694,1.00016614485546
"OR_handwashing",0.968276624078633,0.000916141718165531,0.0463705032007516,0.889947419398577,0.945860340807479,0.964730149409806,0.9844234728416,1.07180072696197,2561.87713504578,1.00062003419162
"OR_masks",1.03517875551448,0.00252975474442505,0.163439838699378,0.743094503265863,0.963934396145072,1.0330949115822,1.09675806003797,1.3557147486957,4174.06311721644,1.00052997878414
"a_new",-4.50641530142898,0.0110867968337236,0.931766949047131,-6.35576131091827,-5.04592524075102,-4.52125658647024,-3.98344888824294,-2.59799497456782,7063.21497484448,0.999949338488044
"b_new",-0.035823318503585,0.0013085515140918,0.112511377371527,-0.254708283089291,-0.0790927020660235,-0.0366364836855015,0.00427338184527718,0.183161206983024,7392.83875921047,1.00016412263454
"predicted_mean[1]",0.0111956398133384,6.96527338466897e-05,0.00444877239674905,0.00506916715007283,0.00840759127060402,0.0105436027095055,0.0129563990692741,0.0217483147658521,4079.47279067846,1.00051224660732
"predicted_mean[2]",0.0108325738521071,6.67314649091949e-05,0.00432235048845589,0.00488526417889371,0.00814740491738839,0.0101810758868348,0.0125534495796654,0.0211662388421306,4195.45089372167,1.00065509496888
"predicted_mean[3]",0.0105041862285744,6.59956274588124e-05,0.00428992696481554,0.0047161415260858,0.00785489148493154,0.00982900401368709,0.0121640234053706,0.0208333877821944,4225.41599839064,1.00080682727377
"predicted_mean[4]",0.0102096232467301,6.81265184592485e-05,0.00436835108025208,0.00453908005393891,0.00754524384306391,0.00948473396771556,0.0118208863324582,0.0206769538745666,4111.52257597823,1.00095777211058
"predicted_mean[5]",0.00994862642299853,7.40688726038235e-05,0.00458689119099392,0.00427726958775199,0.00722541499868964,0.00915717311947572,0.0114947842246653,0.0208426897140076,3835.00034531458,1.00109322671949
"predicted_mean[6]",0.00972151306260619,8.47805610490764e-05,0.00498804431037872,0.00399670798181488,0.00691797558802868,0.00884498932519484,0.0112461940462927,0.0212805977730417,3461.52946780003,1.00119442337247
"predicted_mean[7]",0.00952911887821363,0.00010138010267446,0.00562509958623021,0.00370552534540077,0.00660490448198222,0.00855881576662841,0.010969348839703,0.0213655756338796,3078.6121403878,1.00124559434331
"predicted_mean[8]",0.00937266577581867,0.000124342367095282,0.00655407401320068,0.00343682042346178,0.00629939891701195,0.00825073072580502,0.0107099415720725,0.0219683325845896,2778.33379357231,1.00124377713841
"predicted_mean[9]",0.00925352961945398,0.000154250197427123,0.00781980668994575,0.00312709176200256,0.00601060768312117,0.00796198016908172,0.0104983019322438,0.0227992203860087,2570.04410996804,1.00120186899572
"predicted_mean[10]",0.0091729349701053,0.000191539663331385,0.00944042945449222,0.00290338787739451,0.00571530921498901,0.00765971660890641,0.0102781284804763,0.0236102883076951,2429.21560890028,1.00114108375066
"predicted_mean[11]",0.00913168272555162,0.000236415562039166,0.0113990629531651,0.00263470916079736,0.00545866546393197,0.00738895080064961,0.0100525272562391,0.0246234852980588,2324.80313788347,1.0010803392757
"predicted_mean[12]",0.00913003891012609,0.000288840837884853,0.013650805955377,0.00239120468139322,0.0051976505664886,0.00712645247539283,0.00984107469478385,0.0257552584126377,2233.56910727265,1.00103079887053
"predicted_mean[13]",0.0091678012912471,0.000348616500519484,0.0161424695469802,0.00218772477360741,0.00493795914676222,0.00687043231678679,0.00963142905204409,0.0269053457446876,2144.0952439542,1.00099634359819
"predicted_mean[14]",0.00924440590858463,0.000415477056779508,0.0188307400686729,0.00199462142792045,0.00470316488434791,0.0066386443495178,0.00945976428060064,0.0284326143303781,2054.1903482432,1.00097656705367
"predicted_mean[15]",0.00935893066550063,0.000489043360587925,0.0216869636617753,0.0017936022749265,0.00446782707386418,0.00641103518304416,0.00931208142900073,0.0298255519540481,1966.53993078575,1.00096948314053
"predicted_mean[16]",0.0095099958402749,0.000568708391302125,0.0246905713217963,0.00162753383416203,0.00425512805515359,0.00618559042969724,0.00909633786340974,0.0316515431582568,1884.87696062953,1.00097296490417
"predicted_mean[17]",0.00969566259263706,0.000653603358034815,0.027820601556683,0.00146611660696304,0.0040399050675442,0.00596502363182361,0.00893067970420325,0.0331632891916676,1811.77591957938,1.00098515843625
"predicted_mean[18]",0.00991341177656274,0.000742587428690992,0.031051046396753,0.00131465272386315,0.00382947574702319,0.00576714507170924,0.00877821513193648,0.0355241817147619,1748.46641547316,1.00100448220032
"predicted_mean[19]",0.0101602250519555,0.000834316135401637,0.034350155871687,0.00118422395806211,0.00363629140407595,0.0055612054116419,0.00859525439749029,0.0375688315006058,1695.10318020964,1.00102961098847
"predicted_mean[20]",0.0104327528735412,0.000927354007724554,0.0376820984365464,0.00106170983765861,0.00345011799169985,0.00535188777949411,0.00845667063427631,0.0396714400186695,1651.12157800418,1.00105952250264
"predicted_mean[21]",0.0107275369821998,0.00102030472292302,0.041009851111947,0.000951927174672784,0.00327656958214916,0.00516330898791464,0.00830557450652711,0.0417482323161384,1615.53581794168,1.00109353449893
"predicted_mean_new_trial[1]",0.0164613024260885,0.000300975071225783,0.0256376136674582,0.0016817738306294,0.00612380619966586,0.0104254363206317,0.0177776313187587,0.0677524951606489,7255.9477372895,0.999938445435729
"predicted_mean_new_trial[2]",0.0161726060162378,0.000305556353607209,0.0258065004499165,0.00159005510462089,0.00585713865193271,0.00996660965960187,0.0172721448102547,0.0674405614540445,7133.0553284985,0.999935289701625
"predicted_mean_new_trial[3]",0.0161057082861862,0.00032706566672511,0.0271517095195391,0.00144476680153497,0.00554024861414275,0.00964699236519004,0.0170175970893723,0.0682521583571629,6891.66952101928,0.999967165432959
"predicted_mean_new_trial[4]",0.0162732284841981,0.000376419745126118,0.0303500789386547,0.00125285944488665,0.0052268646334151,0.00932432417871136,0.0169128067683676,0.0716943189463124,6500.92053439029,1.0000460873695
"predicted_mean_new_trial[5]",0.0166542813092114,0.000455346951532101,0.0353171254925803,0.00108901178780946,0.00494825936114033,0.00895244420294814,0.016702503388568,0.0755097730528489,6015.69529352153,1.00012748252235
"predicted_mean_new_trial[6]",0.0172082093069447,0.000553853648576942,0.041121810415835,0.000961262544619414,0.00466480577334093,0.00865943479365158,0.0164555305711685,0.082094699783012,5512.57372798537,1.00017655374541
"predicted_mean_new_trial[7]",0.0179065828354381,0.000663562137740808,0.047047819207621,0.0008265245909813,0.00438825454882814,0.0083893178214743,0.0164060185739675,0.0868555441831656,5027.08003772989,1.00020235667945
"predicted_mean_new_trial[8]",0.0187388684102658,0.000779479544202491,0.0529354163892401,0.000713150596157273,0.0040990424182399,0.00810868598606406,0.0162329421015866,0.0942851523281384,4611.93547072839,1.00021900461191
"predicted_mean_new_trial[9]",0.0196994678165501,0.000898541363279489,0.0588607147134473,0.00060400019899269,0.00386465167978666,0.00777703809199513,0.0160118254152103,0.104361114559725,4291.16203746881,1.00023351863449
"predicted_mean_new_trial[10]",0.0207803869380657,0.0010251950308128,0.0648757487748576,0.000497582845433027,0.00362808092141794,0.00749791475059336,0.0158723370317939,0.118773418135623,4004.53212336508,1.00024919511036
