"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a[1]",-5.06570028974222,0.000911318662130323,0.396147342276213,-5.78169271374058,-5.33660281134147,-5.09198177079284,-4.81747278163937,-4.22085469680388,188961.342338825,0.999999992200281
"a[2]",-5.03095348683217,0.00146739562832921,0.413397375711006,-6.09524898221011,-5.1859150833088,-4.96289291085364,-4.78516553397143,-4.42694131604225,79367.1871809125,1.000087333133
"a[3]",-5.17398996000365,8.61302229237344e-05,0.0456843817117344,-5.26382508335187,-5.20471702262077,-5.17386723335855,-5.14318001752981,-5.08463728130867,281335.386026778,1.00001360477364
"a[4]",-4.09904509112259,1.20070270260872e-05,0.00892997855885469,-4.11655102444972,-4.10507402489437,-4.09903522691837,-4.09298888851599,-4.08163071185536,553133.365043881,0.999994392907591
"a[5]",-3.86725708528379,0.001077436573263,0.460193486207751,-4.80093620641413,-4.1450107270359,-3.85865462297575,-3.58283189799209,-2.97502084076743,182430.524780352,1.00001340890561
"a[6]",-3.91407672178403,0.000199971697021828,0.0936016294333152,-4.09775623386201,-3.97727604544211,-3.91392227173263,-3.85075400658277,-3.73114870007486,219093.631449305,1.0000080791558
"b[1]",-0.0782739740107584,0.000122654779199628,0.0512710247290415,-0.189987840080292,-0.109814703426057,-0.0733887673792674,-0.0428127598272899,0.0112373193523138,174733.044947876,0.999999645021968
"b[2]",0.00370563376724025,0.000339023598841224,0.0932422147364833,-0.129448708405102,-0.0494300917795332,-0.0143360978866836,0.0352692627278594,0.2487737868617,75642.4003215096,1.00008652642885
"b[3]",-0.0266495425736448,1.24396178685591e-05,0.00630366143033802,-0.0390173155989984,-0.0308903719408772,-0.0266436719607712,-0.0223955392016931,-0.0143014720866778,256786.199272347,1.00001594383995
"b[4]",-0.00800152972403786,1.07424488041588e-06,0.000756906965278407,-0.00948345710320161,-0.00851252241887642,-0.00800221785796391,-0.0074907934598537,-0.00651948194684392,496453.318764521,0.999994091205407
"b[5]",-0.0218825483471791,0.000216242675171855,0.0774542921471558,-0.168717916263254,-0.0630343758622724,-0.027048851672787,0.0136404149352462,0.15436562253076,128294.538155513,1.00001039969104
"b[6]",-0.0731955900638499,2.73857388995983e-05,0.0128059855522649,-0.0982776775620399,-0.081844017090519,-0.0731859921140093,-0.0645187919902608,-0.0482225199669541,218663.899443151,1.0000089338933
"c[1]",-0.0433957112886107,5.92393902451716e-05,0.0371786457012906,-0.115561717156485,-0.0685287277629697,-0.0435978261491691,-0.018460026245472,0.0302104529917786,393881.852878576,0.999996663075984
"c[2]",0.0863763618023986,9.05604612301688e-05,0.0522460131863744,-0.0176420388682975,0.0515660313980109,0.0867023334841237,0.12165428314401,0.187936282540428,332835.054183681,1.0000044824589
"c[3]",0.162154104840473,2.76520050609701e-05,0.0170847157381398,0.128698313220547,0.150626529114107,0.162120475086868,0.173668989043132,0.195637153916452,381735.244631041,1.00000530852714
"c[4]",0.0277873949937548,0.000827763761128586,0.328947996900374,-0.648343921045096,-0.102442247017764,0.0354725670744169,0.163032644621742,0.66940838955866,157921.650196369,1.00000529307653
"c[5]",-0.0913857853253545,0.000275690240417009,0.115370894177836,-0.336393614241574,-0.163834208914046,-0.0843390380583887,-0.0113350095922345,0.114132332042687,175125.639024188,0.999998205439801
"c[6]",0.025657097150273,0.000860583932181254,0.331362861914799,-0.655296494544563,-0.104033648099155,0.0345958907946822,0.162235064486188,0.666806329290775,148259.045094663,1.00001365243521
"a0",-4.52022863330471,0.000776486020972829,0.373184965742434,-5.27956431890668,-4.73847139723061,-4.51835813446442,-4.29940823058685,-3.77266331661601,230983.520057216,1.00001866977696
"b0",-0.0339556512544079,0.000125103047038848,0.0462402661150934,-0.116313373941317,-0.0554410894356624,-0.0360192566249034,-0.0163777447527443,0.0667437981509177,136617.040916461,1.00003583345603
"c0",0.0277328237284576,0.000407319483537373,0.150642558716792,-0.288256848527979,-0.0341252117497459,0.0343268585537067,0.0948451333845568,0.31395107750383,136780.755616111,1.00003247111906
"sigmasq_a",0.801461234841296,0.000654759655896988,0.302514277704718,0.391212009237539,0.586925124230931,0.740996769990244,0.949769428821912,1.55662407859801,213465.615520717,1.00000324431142
"sigmasq_b",0.0740053376021649,0.000241352011049853,0.0625313331324729,0.0186775819258705,0.0367079553022177,0.0559528402274131,0.0889767570687551,0.239615607172041,67126.4270575864,1.00006325409644
"sigmasq_c",0.232058774673284,0.000722159133148181,0.183874151958598,0.0627142358510524,0.119978223222613,0.17766238041409,0.27820497246655,0.736963152760049,64829.929481249,1.00004216337054
"sigma_a",0.880871569207927,0.000337503290270813,0.159770391072676,0.625469431096937,0.766110386452727,0.860811692525909,0.974561146784028,1.24764741758118,224097.274347131,1.00000287202847
