"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a[1]",-5.07563639270699,0.00137393150456771,0.397034553564921,-5.78880731328207,-5.34618288012717,-5.10450023240301,-4.82880159281361,-4.22723125177757,83507.6851467744,1.0000266353872
"a[2]",-5.03491580463225,0.0021005587531846,0.415861529533052,-6.1044758094885,-5.18836005714326,-4.96527017731899,-4.7889725407573,-4.42970412148557,39194.7434739863,1.00028144258184
"a[3]",-5.12035374403045,0.000158933368651547,0.0573310740126121,-5.23293226545,-5.15885110620018,-5.12040519882972,-5.08143730863423,-5.00888100258479,130121.774848201,1.00002760850671
"a[4]",-4.0990344950575,1.64142527596137e-05,0.00890557425400044,-4.11658907696707,-4.10499551517707,-4.09902090444727,-4.09302738829943,-4.0815996431728,294361.918469423,1.0000052532236
"a[5]",-3.85284561625534,0.00180939646867957,0.536813113484821,-4.96304451514873,-4.16732554194932,-3.84011896146375,-3.52571221181695,-2.81643849742507,88019.4713917095,1.00000611040151
"a[6]",-3.77368686969769,0.000341619269434012,0.118781495877645,-4.00642897231609,-3.85394017631544,-3.77379671873939,-3.69316865247775,-3.54182647857074,120896.258734438,1.00006315597422
"b[1]",-0.0768375754105603,0.000183321613743014,0.0512273259393512,-0.189289713157327,-0.108085318263444,-0.0718149189673314,-0.0413799369922517,0.0121974694939427,78086.5129849598,1.00005348882034
"b[2]",0.00454103196660202,0.000484904315924584,0.0936374475048456,-0.128447209480945,-0.0485240932049827,-0.0137186879793356,0.0357207349779541,0.250287855389603,37289.5406890735,1.00029398632917
"b[3]",-0.0266958278182971,1.81684462298608e-05,0.0062834247632506,-0.0389963983799101,-0.0309638908603028,-0.0266649899552648,-0.0224618285124803,-0.0144243789408267,119607.183205783,1.00002412441263
"b[4]",-0.00800185567365842,1.49015436168253e-06,0.000752731673708511,-0.00947470283840024,-0.00851020271325936,-0.00800217067617981,-0.00749429767060571,-0.0065229919018872,255163.097183553,0.999998677875524
"b[5]",-0.0163763452288027,0.000266240693409534,0.0698760711567995,-0.147378476025238,-0.0556386866432407,-0.021601344074005,0.0180285720151794,0.141666305520357,68882.3706591057,1.00001396499043
